Qty,Device,Value,Parts,Unit Price,Price
1,Microcontroller,Teensy 4.1,U$1,"40,00 €","40,00 €"
1,Barometer,GY-68 BMP180,U$4,"2,00 €","2,00 €"
1,IMU,GY-521 MPU6050,U1,"2,50 €","2,50 €"
1,GPS,GY-NEO6MV2,U$3,"10,00 €","10,00 €"
1,Radio Module,NRF24L01+PA+LNA,U$2,"4,00 €","4,00 €"
1,Motor Driver,DRV8871,U$5,"8,00 €","8,00 €"
1,Stepper Driver,A4988,U$6,"2,00 €","2,00 €"
1,RGB Led,5mm Com. Cat.,STATUS_LED,"0,10 €","0,10 €"
1,Buzzer,3.3V 12mm,U$7,"1,00 €","1,00 €"
2,5V Regulator,L7805CV TO220V,"CAM_5V_REG, MAIN_5V_REG","0,80 €","1,60 €"
5,N-Mosfet,IRFZ44N TO220V,"CAM_FET, PYFET1, PYFET2, PYFET3, PYFET4","0,80 €","4,00 €"
15,Resistor,100k,"R2, R3, R4, R8, R9, R10, R14, R15, R16, R20, R21, R22, R26, R27, R28","0,05 €","0,75 €"
4,Resistor,1ohm,"R5, R11, R17, R23","0,05 €","0,20 €"
1,Resistor,10ohm,R31,"0,05 €","0,05 €"
2,Resistor,68ohm,"R29, R30","0,05 €","0,10 €"
4,Resistor,100ohm,"R33, R34, R35, R36","0,05 €","0,20 €"
5,Resistor,470ohm,"R6, R12, R18, R24, R32","0,05 €","0,25 €"
5,Resistor,1M,"R1, R7, R13, R19, R25","0,05 €","0,25 €"
2,Capacitor,1µF,"C2, C7","0,15 €","0,30 €"
4,Capacitor,10µF,"C1, C4, C5, C6","0,15 €","0,60 €"
1,Capacitor,100µF,C3,"0,15 €","0,15 €"
4,Optocoupler,4N28,"OPTO_1, OPTO_2, OPTO_3, OPTO_4","0,15 €","0,60 €"
8,Headers,2 pins,CAM_BREAKOUTS,"0,01 €","0,08 €"
4,Headers,3 pins,"SERVO_HD_1, SERVO_HD_2, SERVO_HD_3, SERVO_HD_4","0,01 €","0,04 €"
4,Headers,4 pins,POWER_BK,"0,01 €","0,04 €"
1,Stepper connector,4 pins JST XH,STEPPER_BK,"0,10 €","0,10 €"
9,Screw terminals,2 pins 5mm,"ARM, BATT, BAT_2S, PY1, PY2, PY3, PY4, ROLL, SW","0,10 €","0,90 €"
1,PCB Board,,,"2,00 €","2,00 €"
,,,,,
,,,,Total :,"81,81 €"
